asset,rmse,mae,nll,coverage_95,avg_interval_width_95,model
btc,0.0023626445307585353,0.0006987701466579723,-3.5975410447195952,0.9583333333333334,0.006566706820162387,naive_last_surface
eurusd,0.001201995554156243,0.0005132583915227848,-5.2618455106066495,0.9694444444444444,0.0047909437690350975,naive_last_surface
spx,0.002563704714506249,0.0006804952970721715,-3.7614621622798405,0.9611111111111111,0.006443334324450239,naive_last_surface
btc,0.0017178830050602544,0.0005902448099208843,-4.027956851227549,0.9555555555555556,0.004782743763548694,har_rv
eurusd,0.0009012734907732306,0.00044184503813559696,-5.54938752766017,0.9833333333333333,0.0036115444597454834,har_rv
spx,0.0018425156021189886,0.000540831276937897,-4.119054541903577,0.9666666666666667,0.0046432267804905275,har_rv
btc,0.001730064175925191,0.0005966725530376325,-4.024741794351921,0.95,0.004774940565841419,var1_cross_asset
eurusd,0.0009629643378482833,0.0004529255484110639,-5.474505163379804,0.9722222222222222,0.003477945910770712,var1_cross_asset
spx,0.0018440722357837734,0.0005128252021489106,-4.021540712646336,0.9611111111111111,0.0045585876791633655,var1_cross_asset
btc,0.0017178830050602544,0.0005902448099208843,-4.027956851227549,0.9555555555555556,0.004782743763548694,prob_har_gaussian
eurusd,0.0009012734907732306,0.00044184503813559696,-5.54938752766017,0.9833333333333333,0.0036115444597454834,prob_har_gaussian
spx,0.0018425156021189886,0.000540831276937897,-4.119054541903577,0.9666666666666667,0.0046432267804905275,prob_har_gaussian
btc,0.0023626445307585353,0.0006987701466579723,-0.6904296031146935,1.0,0.7839855938160216,prob_lstm_gaussian
eurusd,0.001201995554156243,0.0005132583915227848,-0.6904813193130249,1.0,0.7839855938160216,prob_lstm_gaussian
spx,0.002563704714506249,0.0006804952970721715,-0.6904172219561379,1.0,0.7839855938160216,prob_lstm_gaussian
