split_id,model,aggregate_rmse,aggregate_mae,aggregate_nll,aggregate_coverage_95
0,naive_last_surface,0.002005192237238155,0.0006827154258004809,-3.299115968576203,0.9388888888888888
0,har_rv,0.0015409658720374163,0.0005712386318119917,-3.645242896491814,0.9444444444444443
0,var1_cross_asset,0.0014993827864944428,0.000538100774610537,-3.6830211086262943,0.9333333333333332
0,prob_har_gaussian,0.0015409658720374163,0.0005712386318119917,-3.645242896491814,0.9444444444444443
0,prob_lstm_gaussian,0.002005192237238155,0.0006827154258004809,-0.690440240610028,1.0
1,naive_last_surface,0.001190095167320068,0.0006005825218779672,-5.272286958219205,0.9499999999999998
1,har_rv,0.0009057743478307303,0.0004886631988936929,-5.56829502880075,0.9611111111111111
1,var1_cross_asset,0.0009035991432850135,0.0004882248990139982,-5.561010012301094,0.9611111111111111
1,prob_har_gaussian,0.0009057743478307303,0.0004886631988936929,-5.56829502880075,0.9611111111111111
1,prob_lstm_gaussian,0.001190095167320068,0.0006005825218779672,-0.6904807387826956,1.0
2,naive_last_surface,0.002051637288306441,0.0007646732059723972,-3.85069219223354,0.9611111111111111
2,har_rv,0.0014648365816257818,0.0005817336939348466,-4.33592871263329,0.9666666666666667
2,var1_cross_asset,0.001634175263417104,0.0006077073507370906,-4.192630782863399,0.9388888888888888
2,prob_har_gaussian,0.0014648365816257818,0.0005817336939348466,-4.33592871263329,0.9666666666666667
2,prob_lstm_gaussian,0.002051637288306441,0.0007646732059723972,-0.6904102744396744,1.0
3,naive_last_surface,0.0026253298792630123,0.0009738073962133076,-2.3299467716661013,0.9499999999999998
3,har_rv,0.0019170302145532267,0.0007072314843944502,-2.7322759425157392,0.9611111111111109
3,var1_cross_asset,0.001990889445163941,0.0007094197236775894,-2.4817595989860046,0.9555555555555556
3,prob_har_gaussian,0.0019170302145532267,0.0007072314843944502,-2.7322759425157392,0.9611111111111109
3,prob_lstm_gaussian,0.0026253298792630123,0.0009738073962133076,-0.6903579433317089,1.0
4,naive_last_surface,0.0005306894931990984,0.0002756887887515178,-5.324685767382167,1.0
4,har_rv,0.000452217841242092,0.00035591460759446837,-5.631789307765836,0.9944444444444445
4,var1_cross_asset,0.0004610192670339141,0.00035485524642004724,-5.638697435097941,0.9944444444444445
4,prob_har_gaussian,0.000452217841242092,0.00035591460759446837,-5.631789307765836,0.9944444444444445
4,prob_lstm_gaussian,0.0005306894931990984,0.0002756887887515178,-0.6904949051581518,1.0
5,naive_last_surface,0.0011862050873002554,0.0004875803318901862,-5.164969777134956,0.9777777777777779
5,har_rv,0.0008672480328804819,0.00044106063335930685,-5.479265953375161,0.9833333333333334
5,var1_cross_asset,0.0008665590385419072,0.0004265386127359515,-5.484456402881389,0.9833333333333334
5,prob_har_gaussian,0.0008672480328804819,0.00044106063335930685,-5.479265953375161,0.9833333333333334
5,prob_lstm_gaussian,0.0011862050873002554,0.0004875803318901862,-0.6904721864454544,1.0
