model,asset,alpha,n_obs,expected_exceed_rate,observed_exceed_rate,exceedances,kupiec_lr_uc,kupiec_p_value,christoffersen_lr_ind,christoffersen_p_value,avg_var_level,avg_es_level,avg_excess_given_exceedance
naive_last_surface,btc,0.95,360,0.050000000000000044,0.03333333333333333,12,2.3734903328650176,0.1234108505612117,0.8301366671381771,0.36223301325763413,0.0032769034978270494,0.0039769058326832646,0.0036971883045781987
naive_last_surface,eurusd,0.95,360,0.050000000000000044,0.016666666666666666,6,11.23286519437054,0.0008036148760227624,0.20397581588947844,0.6515306412020938,0.0024213009253958406,0.0029320092478981197,0.0029636346159694848
naive_last_surface,spx,0.95,360,0.050000000000000044,0.022222222222222223,8,7.314705269525064,0.006839261510856232,0.3647039283434452,0.5459053294566281,0.003196611168900787,0.003883462157515934,0.005272449237091616
har_rv,btc,0.95,360,0.050000000000000044,0.044444444444444446,16,0.2426160328215019,0.6223230299044841,0.11356236569955058,0.736124320398036,0.0024796708516578976,0.002989505064329555,0.003430310934529774
har_rv,eurusd,0.95,360,0.050000000000000044,0.03333333333333333,12,2.3734903328650176,0.1234108505612117,0.8301366671381771,0.36223301325763413,0.0019619552908009055,0.002346941193703808,0.0018916784597595704
har_rv,spx,0.95,360,0.050000000000000044,0.03611111111111111,13,1.6117633503719873,0.20424410644264424,0.49454616495387427,0.48190634266699717,0.0024081719314740947,0.002903133816726938,0.003963498074459295
var1_cross_asset,btc,0.95,360,0.050000000000000044,0.05,18,-0.0,1.0,1.1356448112586293,0.28657448532046415,0.0024784590099853837,0.002987461412015264,0.0030660880971554714
var1_cross_asset,eurusd,0.95,360,0.050000000000000044,0.030555555555555555,11,3.3078245554442987,0.06895071297714073,0.6955181240077053,0.40429378001680816,0.0019406172923240434,0.002311361765119453,0.0017818188575334799
var1_cross_asset,spx,0.95,360,0.050000000000000044,0.03611111111111111,13,1.6117633503719873,0.20424410644264424,0.49454616495387427,0.48190634266699717,0.0023381122362492153,0.002824051704303954,0.00392620566387469
prob_har_gaussian,btc,0.95,360,0.050000000000000044,0.044444444444444446,16,0.2426160328215019,0.6223230299044841,0.11356236569955058,0.736124320398036,0.0024796708516578976,0.002989505064329555,0.003430310934529774
prob_har_gaussian,eurusd,0.95,360,0.050000000000000044,0.03333333333333333,12,2.3734903328650176,0.1234108505612117,0.8301366671381771,0.36223301325763413,0.0019619552908009055,0.002346941193703808,0.0018916784597595704
prob_har_gaussian,spx,0.95,360,0.050000000000000044,0.03611111111111111,13,1.6117633503719873,0.20424410644264424,0.49454616495387427,0.48190634266699717,0.0024081719314740947,0.002903133816726938,0.003963498074459295
prob_lstm_gaussian,btc,0.95,360,0.050000000000000044,0.0,0,36.93117123903644,1.2237376667556532e-09,-0.0,1.0,0.3294921518448008,0.4130639879559918,0.0
prob_lstm_gaussian,eurusd,0.95,360,0.050000000000000044,0.0,0,36.93117123903644,1.2237376667556532e-09,-0.0,1.0,0.32938168293765435,0.4129535190488454,0.0
prob_lstm_gaussian,spx,0.95,360,0.050000000000000044,0.0,0,36.93117123903644,1.2237376667556532e-09,-0.0,1.0,0.3294636282469937,0.41303546435818483,0.0
