,naive_last_surface,har_rv,har_j_rv,var1_cross_asset,garch11_qml,prob_har_gaussian,prob_har_student_t,prob_lstm_gaussian
2017-05-24,0.007146595650217448,0.0025390390095939752,0.002533675741446912,0.0030549980140983164,0.0026949139486844007,0.002533675741446912,0.002533675741446912,0.007146595650217448
2017-05-25,0.014636326517467171,0.006682907881310349,0.006683578095252114,0.006959405747223518,0.007174703118824811,0.006683578095252114,0.006683578095252114,0.014636326517467171
2017-05-26,0.0072463644449077625,0.005385171252289968,0.005354903677724781,0.005710728099427583,0.0056778402215697495,0.005354903677724781,0.005354903677724781,0.0072463644449077625
2017-05-27,-0.0010022349259574165,0.00034081371838432726,0.0003295136704400974,0.0005851198257144106,0.00035567567179712575,0.0003295136704400974,0.0003295136704400974,-0.0010022349259574165
2017-05-28,-0.011852411757637434,-0.006016681333325314,-0.006035801768586994,-0.0069529221187164085,-0.006876918874099067,-0.006035801768586994,-0.006035801768586994,-0.011852411757637434
2017-05-29,0.00279799696767589,0.0021427706488601444,0.002135495931654846,0.0013799202098542466,0.0020869291953246436,0.002135495931654846,0.002135495931654846,0.00279799696767589
2017-05-30,-0.01033071903151684,-0.006949427786403069,-0.006903102942573486,-0.0070400671063158456,-0.00693655777167881,-0.006903102942573486,-0.006903102942573486,-0.01033071903151684
2017-05-31,0.0042198282677419615,0.004440789235703097,0.004408541993401543,0.003990496519611833,0.004663084044317757,0.004408541993401543,0.004408541993401543,0.0042198282677419615
2017-06-01,-0.008276875592235083,-0.0008711754039545877,-0.0008956765873538557,-0.0007071567944395033,-0.00115891786125806,-0.0008956765873538557,-0.0008956765873538557,-0.008276875592235083
2017-06-02,0.009204749270502475,0.005741743708048916,0.005733108882235719,0.006469616136278112,0.0063873420122679,0.005733108882235719,0.005733108882235719,0.009204749270502475
2017-06-03,0.012113422278107371,0.002954504060786652,0.0029404595916481756,0.003028305642877175,0.003045596048459702,0.0029404595916481756,0.0029404595916481756,0.012113422278107371
2017-06-04,0.005903411372481717,0.0017529322518067727,0.00177593805153925,0.0018052174873808928,0.0022130354939485404,0.00177593805153925,0.00177593805153925,0.005903411372481717
2017-06-05,-0.005211439519180655,-0.0020343800704320358,-0.0020376784787434392,-0.0023474392693806447,-0.0023885378425127115,-0.0020376784787434392,-0.0020376784787434392,-0.005211439519180655
2017-06-06,-0.012543943387072954,-0.006211524371914756,-0.00619152666260019,-0.006719905878477359,-0.006704502380596934,-0.00619152666260019,-0.00619152666260019,-0.012543943387072954
2017-06-07,-0.0034047873904940935,-0.0006320716598869665,-0.0006525931865634292,-0.000556178454677759,-0.0010178966506674807,-0.0006525931865634292,-0.0006525931865634292,-0.0034047873904940935
2017-06-08,0.0003409119876592777,0.0013904424285200946,0.0013774721655029959,0.0012215896795158188,0.0013624470820815906,0.0013774721655029959,0.0013774721655029959,0.0003409119876592777
