asset,rmse,mae,nll,coverage_95,avg_interval_width_95,model
btc,0.0023626445307585353,0.0006987701466579723,-3.5975410447195952,0.9583333333333334,0.006566706820162387,naive_last_surface
eurusd,0.001201995554156243,0.0005132583915227848,-5.2618455106066495,0.9694444444444444,0.0047909437690350975,naive_last_surface
spx,0.002563704714506249,0.0006804952970721715,-3.7614621622798405,0.9611111111111111,0.006443334324450239,naive_last_surface
btc,0.0017190056380519492,0.0005918242890835172,-4.029487839136531,0.9555555555555556,0.004787255271798332,har_rv
eurusd,0.0009002086780785411,0.0004395359106048193,-5.550396958943557,0.9833333333333333,0.003613614763079071,har_rv
spx,0.0018424121484423963,0.0005389425981674527,-4.123171591989911,0.9666666666666667,0.004647858664207891,har_rv
btc,0.0017178830050602544,0.0005902448099208843,-4.027956851227549,0.9555555555555556,0.004782743763548694,har_j_rv
eurusd,0.0009012734907732306,0.00044184503813559696,-5.54938752766017,0.9833333333333333,0.0036115444597454834,har_j_rv
spx,0.0018425156021189886,0.000540831276937897,-4.119054541903577,0.9666666666666667,0.0046432267804905275,har_j_rv
btc,0.001730064175925191,0.0005966725530376325,-4.024741794351921,0.95,0.004774940565841419,var1_cross_asset
eurusd,0.0009629643378482833,0.0004529255484110639,-5.474505163379804,0.9722222222222222,0.003477945910770712,var1_cross_asset
spx,0.0018440722357837734,0.0005128252021489106,-4.021540712646336,0.9611111111111111,0.0045585876791633655,var1_cross_asset
btc,0.0017133443368784317,0.0005688644096793973,-4.0659655090878974,0.9666666666666667,0.0048329791189205586,garch11_qml
eurusd,0.0009069000253280298,0.0004318416539078309,-5.541760746638898,0.9805555555555555,0.0036551831591547378,garch11_qml
spx,0.001861463435543896,0.0005472346310786116,-4.09720654889891,0.9611111111111111,0.004676526825160005,garch11_qml
btc,0.0017178830050602544,0.0005902448099208843,-4.027956851227549,0.9555555555555556,0.004782743763548694,prob_har_gaussian
eurusd,0.0009012734907732306,0.00044184503813559696,-5.54938752766017,0.9833333333333333,0.0036115444597454834,prob_har_gaussian
spx,0.0018425156021189886,0.000540831276937897,-4.119054541903577,0.9666666666666667,0.0046432267804905275,prob_har_gaussian
btc,0.0017178830050602544,0.0005902448099208843,-5.490937076761458,0.9694444444444444,0.006649777583670183,prob_har_student_t
eurusd,0.0009012734907732306,0.00044184503813559696,-5.790650576861481,0.9861111111111112,0.005020041924279479,prob_har_student_t
spx,0.0018425156021189886,0.000540831276937897,-5.5591127497843695,0.975,0.006455797526960411,prob_har_student_t
btc,0.0023626445307585353,0.0006987701466579723,-0.6904296031146935,1.0,0.7839855938160216,prob_lstm_gaussian
eurusd,0.001201995554156243,0.0005132583915227848,-0.6904813193130249,1.0,0.7839855938160216,prob_lstm_gaussian
spx,0.002563704714506249,0.0006804952970721715,-0.6904172219561379,1.0,0.7839855938160216,prob_lstm_gaussian
